idrefpelanggan,cluster
0140013350,2
0140013351,4
0140014529,0
0140014666,3
0140014749,4
0140014751,1
0140015773,3
0140016076,1
0140016077,0
0140017815,4
0140019588,0
0140019589,2
0140019612,1
0140019614,1
0140019617,4
0140019618,1
0140019620,4
0140019621,2
0140019622,3
0140019623,4
0140019624,4
0140019625,0
0140019626,1
0140019627,0
0140019628,3
0140019631,4
0140019632,4
0140019633,0
0140019635,1
0140019636,3
0140019637,4
0140019639,1
0140019640,4
0140019642,4
0140019643,3
0140019645,3
0140019646,1
0140019647,2
0140019648,0
0140019649,4
0140019650,0
0140019651,4
0140019652,0
0140019654,0
0140019655,4
0140019656,3
0140019657,0
0140019659,4
0140019660,4
0140019661,2
0140019662,4
0140019663,0
0140019664,4
0140019666,4
0140019667,4
0140019668,3
0140019670,0
0140019671,0
0140019674,4
0140019675,4
014513876,4
014514227,0
014516724,2
014516819,0
014516976,0
014516981,0
014517181,3
014517186,2
014517187,3
014517204,4
014517246,0
014517534,2
014517575,4
014519070,0
014520305,4
014520306,4
014521683,0
014521712,2
014522159,4
014522251,4
014522252,0
014522333,4
014523235,0
014523236,3
014525146,4
014525267,4
014525645,0
014525646,0
014527317,0
014529433,4
014529533,1
014535819,0
014536203,0
014536208,0
014547258,0
014547836,0
014548192,0
014548469,4
014548473,0
014552373,4
014557590,2
014557947,4
014559512,0
014559586,3
014560379,4
014560508,4
014561044,0
014561089,4
014561327,2
014561904,2
014562976,2
014562989,4
014564187,2
014564188,3
014564189,4
014564190,2
014565052,4
014565614,1
014570938,2
014571124,0
014577739,4
014586157,4
014586158,4
014612761,4
014612995,0
014612996,0
014612997,4
014612998,2
014618676,4
014618678,0
014618719,3
014618731,3
014672976,0
014674179,1
014683991,4
014690274,1
014713296,2
014713304,4
014713822,0
014715151,3
014717466,2
014755176,2
014755177,2
