IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
0130014663,013,1,2,1,314.0
018570729,018,1,2,20,17033.04656
021516938,021,1,2,5,155.33
0110024840,011,1,2,10,28.0
015557559,015,1,3,5,24.97
02300333,023,1,3,19,185.61
0110015396,011,1,2,6,404.0
012516810,012,1,2,17,81.67
02300244,023,1,3,19,472.35
0120014800,012,1,2,1,31.22
022518408,022,1,3,7,91.36
0130010264,013,1,3,8,286.34
0140019617,014,1,3,21,373.35
01607115,016,1,3,13,6.0
0110024981,011,1,2,1,439.483
022516825,022,1,3,17,61.85
02300329,023,1,2,21,61.54
022517241,022,1,2,20,34.57
0130253708,013,1,2,8,56.19
018524425,018,1,3,5,299.97
0110010458,011,1,2,13,3.0
03104158,031,1,3,3,35.29
02100182,021,1,3,15,195.69
02200347,022,1,3,3,1.79
02100287,021,1,2,4,200.56
0110007832,011,1,2,19,144.28
01203030106,012,1,3,2,136.24
017514232,017,1,3,21,0.13
023519073,023,1,2,2,164.88
014521683,014,1,2,20,216.68
03112470,031,1,2,12,204.48
0150000007,015,1,3,5,105.0
034740460,034,1,3,7,5961.11
012517223,012,1,2,2,165.55
015526831,015,1,3,1,42.55
01903030112,019,1,3,7,47.87
0130252695,013,1,2,11,308.0
014690274,014,1,3,4,228.92
0110010292,011,1,2,13,31.0
022514464,022,1,2,15,56.23
0190303068,019,1,3,6,6481.56
013762223,013,1,3,19,11.46
0120303079,012,1,2,23,240.92
03122781,031,1,3,15,110.18
012517008,012,1,2,8,2.7
014618678,014,1,3,12,29.72
02300293,023,1,2,23,13.47
0110003609,011,1,3,20,218.0
02200049,022,1,2,10,6606.21
0130014862,013,1,3,4,48.35
03123178,031,1,3,0,52.6
02100294,021,1,3,12,1261.34
014612997,014,1,3,2,28.23
02100020,021,1,2,10,1022.59
02200065,022,1,2,10,211.78
013517577,013,1,2,13,3.66
023536112,023,1,2,10,257.24
022517574,022,1,2,16,28.03
018526883,018,1,3,16,10.97
0140019646,014,1,2,0,462.43
0120008049,012,1,3,10,49.98
0140019646,014,1,2,23,239.96
033559028,033,1,2,3,47.0
0150000005,015,1,2,6,333.0
01203030134,012,1,3,17,104.75
0150010747,015,1,3,20,201.0
0130252698,013,1,2,20,136.0
0140014666,014,1,2,2,3264.78
0140019656,014,1,2,19,80.0
02100313,021,1,2,8,1305.09
03113411,031,1,2,6,0.46
02200313,022,1,2,20,43.58
015521615,015,1,3,22,58.94
0130015842,013,1,2,20,27.35
02100324,021,1,2,13,113.98
02100282,021,1,2,20,6.99
011565522,011,1,2,10,41.03
0140019667,014,1,2,12,24.0
023517188,023,1,2,21,100.89
0130252693,013,1,2,14,57.63
015516712,015,1,3,22,350.62
02100232,021,1,2,12,3632.03
01903030102,019,1,3,13,1612.74
022516939,022,1,3,16,5128.36
014516724,014,1,3,7,124.13
02200343,022,1,2,18,82.34
0190303041,019,1,3,9,4301.67
01613745,016,1,2,13,0.26
02300280,023,1,3,3,70.58
02100271,021,1,3,8,10.93
0123031003,012,1,2,8,23.81
01203030136,012,1,3,5,20.31
012560108,012,1,3,8,15.17
021514220,021,1,3,20,0.92
012517001,012,1,2,15,34.77
03119621,031,1,3,13,363.1
0110025761,011,1,2,22,4.0
023774390,023,1,2,1,14.94
02100288,021,1,2,15,40.43
0110026219,011,1,3,9,3.0
022667059,022,1,3,9,246.86
015557554,015,1,3,22,16.79
02100012,021,1,3,6,1222.67
0130252687,013,1,2,21,182.22
0120011330,012,1,2,12,952.97
019557623,019,1,3,1,199.49
0130015607,013,1,3,2,83.65
0130015184,013,1,3,18,705.0
0130252692,013,1,3,21,105.69
02200387,022,1,3,8,131.3
0150019852,015,1,2,10,53.15
022517273,022,1,2,18,64.51
02200279,022,1,3,21,68.45
0140019624,014,1,2,15,370.54
03113412,031,1,3,23,458.74
015694665,015,1,2,2,1161.6
01203030139,012,1,3,23,66.81
0120007839,012,1,2,11,37.46
02200005,022,1,2,2,416.14
0150004862,015,1,2,9,205.47
011575531,011,1,3,2,5.49
015528386,015,1,2,11,37.77
02300325,023,1,3,0,59.71
01203030140,012,1,3,9,491.81
0110026724,011,1,2,6,39.0
012586151,012,1,2,13,27.19
0150010985,015,1,3,3,388.32
0150019858,015,1,3,4,72.98
0130007843,013,1,2,7,154.0
02100267,021,1,3,5,260.0
014690274,014,1,2,17,372.84
015548374,015,1,3,11,824.5
02300309,023,1,2,20,355.45
023516726,023,1,3,16,17.04
0150019823,015,1,2,3,34.0
0120303054,012,1,3,18,65.53
0120014864,012,1,3,6,132.51
0150003302,015,1,2,2,809.0
013586166,013,1,3,20,310.8
0140019642,014,1,3,11,839.0
02100196,021,1,3,15,432.35
012667952,012,1,2,21,246.06
0140019617,014,1,2,11,367.34
0123030979,012,1,3,0,137.51
01203030142,012,1,3,4,57.38
02200325,022,1,3,6,19.07
022517241,022,1,3,7,37.12
02200296,022,1,2,5,160.19
0150002942,015,1,2,12,43.61
0130011854,013,1,2,8,247.59
022586135,022,1,3,11,95.04
0130025080,013,1,2,13,1837.76
0130012210,013,1,3,19,125.36
0130253246,013,1,2,19,137.0
013570484,013,1,3,1,20.65
01703357,017,1,3,1,14.44
0150019643,015,1,3,16,3.46
02100371,021,1,2,7,317.0
0110013348,011,1,3,11,9.0
015667611,015,1,2,4,47.77
0123031051,012,1,3,12,9.53
02200005,022,1,2,16,669.57
0150019845,015,1,2,23,5.89
02300314,023,1,3,18,260.99
02100339,021,1,3,10,11.0
0110008514,011,1,3,0,320.38
022561216,022,1,2,19,215.59
01203030109,012,1,3,16,19.24
022710306,022,1,3,11,40.45
021516728,021,1,3,4,164.2
0123031050,012,1,3,6,126.9
0150019634,015,1,2,12,187.18
0150019839,015,1,3,17,26.27
013561721,013,1,3,0,538.15
022522778,022,1,3,18,32.02
0150019637,015,1,3,8,79.0
02300285,023,1,3,20,435.73
02100343,021,1,2,21,19.29
022708351,022,1,2,22,117.89
0150019640,015,1,3,10,81.0
0130252857,013,1,3,19,43.0
0130011318,013,1,3,19,38.0
02300280,023,1,2,16,1191.73
02300270,023,1,3,20,14.77
02100350,021,1,3,7,3.96
02100344,021,1,3,17,259.52
0120303071,012,1,3,13,235.83
02200008,022,1,2,2,234.94
